[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: MBW;mbw;Document;Mbed Wizard File;ContentRecognizerMBW;Mbed Wizard File;256;8000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: MCD;mcd;Document;MathCad Document;ContentRecognizerMCD;MathCad Document;512;32000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: MDB;mdb;Document;Microsoft Access Database;ContentRecognizerMDB;Microsoft Access Database;512;512000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: MEF;mef;Image;Mamiya MEF Raw Image;ContentRecognizerTaggedImageFileFormat;Tagged Image File Format;512;536870912
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: MID;mid;Audio;Musical Instrument Digital Interface;ContentRecognizerMusicalInstrumentDigitalInterface;Musical Instrument Digital Interface;64;4194304
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: MIF;mif;Document;Microsoft Management Info;ContentRecognizerMIF;Microsoft Management Info;512;32000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: MJ2S;mjp;Video;Motion JPEG 2000 Simple Profile;ContentRecognizerQuickTime;QuickTime;512;4294967296
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: MJP2;mjp;Video;Motion JPEG 2000 General Profile;ContentRecognizerQuickTime;QuickTime;512;4294967296
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: MLV;mlv;Video;Magic Lantern Video;ContentRecognizerMagicLantern;MagicLantern;512;4294967296
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: MOD;mod;Video;Canon MOD MPEG-2 Video;ContentRecognizerMPEG;Motion Picture Experts Group Video;512;4294967296
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: MOS;mos;Image;Leaf MOS Raw Image;ContentRecognizerTaggedImageFileFormat;Tagged Image File Format;512;536870912
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: MOV;mov;Video;Apple QuickTime Video;ContentRecognizerQuickTime;QuickTime;512;4294967296
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: MP3;mp3;Audio;Moving Picture Experts Group 3 Audio;ContentRecognizerMPEG3;Moving Picture Experts Group 3 Audio;512;536870912
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: MP4;mp4;Video;MPEG-4 Multimedia;ContentRecognizerQuickTime;QuickTime;512;4294967296
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: MPD;mpd;Document;Microsoft Miniport Driver;ContentRecognizerMPD;Microsoft Miniport Driver;512;32000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: MPEG1;mpg;Video;MPEG-1 Video;ContentRecognizerMPEG;Motion Picture Experts Group Video;512;4294967296
